name,price,originalPrice,brandName,image,itemUrl
Sara Foods Brown Sugar - 1kg,400,500,No Brand,https://static-01.daraz.com.np/p/5cc3f516a04b8ba37960796508ea654c.jpg,https://www.daraz.com.np/products/sara-foods-brown-sugar-1kg-i127043926.html
Gulmeli (Thorgelo) Gudh 1 Kg,500,No Original Price,No Brand,https://static-01.daraz.com.np/p/96f82616fd6ef203fad3fa4166481f2c.jpg,https://www.daraz.com.np/products/gulmeli-thorgelo-gudh-1-kg-i103482531.html
Big Size Sugar - 5kg,550,575,No Brand,https://np-live-21.slatic.net/kf/S34e7a0b7cca64bd1972904c666c4b38e8.jpg,https://www.daraz.com.np/products/big-size-sugar-5kg-i126007485.html
Big Size Sugar - 1kg,110,160,No Brand,https://np-live-21.slatic.net/kf/S87f2ce48cc2c4f9db5eace23845f54a16.jpg,https://www.daraz.com.np/products/big-size-sugar-1kg-i125196003.html
Kirana Jaggery (Khane Sakkhar) 1kg,170,No Original Price,No Brand,https://static-01.daraz.com.np/p/a02fe1b78c83eac7ebbc85d21e6535c1.jpg,https://www.daraz.com.np/products/kirana-jaggery-khane-sakkhar-1kg-i104446353.html
Kirana Jaggery (Khane Sakkhar) 500g,80,No Original Price,No Brand,https://static-01.daraz.com.np/p/a02fe1b78c83eac7ebbc85d21e6535c1.jpg,https://www.daraz.com.np/products/kirana-jaggery-khane-sakkhar-500g-i105170589.html
Sugar Plain - 1kg,110,160,No Brand,https://np-live-21.slatic.net/kf/Sfd61f28799b0456d8b3648e360df37709.jpg,https://www.daraz.com.np/products/sugar-plain-1kg-i125192328.html
Fresh Sugar | Safed Cheeni 5kg,645,700,No Brand,https://static-01.daraz.com.np/p/ae26cb310a9a2668dcd41774dd9b8628.jpg,https://www.daraz.com.np/products/fresh-sugar-safed-cheeni-5kg-i161933454.html
Icing Sugar - 200g,60,No Original Price,,https://static-01.daraz.com.np/p/e0ecfd9f5807c252402a89ccdf4a0148.jpg,https://www.daraz.com.np/products/icing-sugar-200g-i127992790.html
Caster Wheel Big,100,No Original Price,No Brand,https://static-01.daraz.com.np/p/00d76af045f2ff4d6fd9c30dc1aac0b7.jpg,https://www.daraz.com.np/products/caster-wheel-i114083.html
Organic Jaggery (Local Sakkhar) 1 Kg,225,No Original Price,No Brand,https://static-01.daraz.com.np/p/4d51b594d3ed0d311901c35fc01383f3.png,https://www.daraz.com.np/products/organic-jaggery-local-sakkhar-1-kg-i107832247.html
MATO Sugar 1kg,105,No Original Price,,https://static-01.daraz.com.np/p/a4a9f54477efd85a2605ca1f90dca26d.jpg,https://www.daraz.com.np/products/mato-sugar-1kg-i129118369.html
Patanjali Bura Sugar 1 KG,300,No Original Price,No Brand,https://static-01.daraz.com.np/p/8581d1edb94974b34f57295d4a5896dc.jpg,https://www.daraz.com.np/products/patanjali-bura-sugar-1-kg-i123265537.html
Jaggery 200 Gms / Herbs Nepal,90,No Original Price,No Brand,https://static-01.daraz.com.np/p/b4ed89fcf3574c51a15e96cac2c027b1.jpg,https://www.daraz.com.np/products/jaggery-200-gms-herbs-nepal-i118162041.html
NR Natural Pure Organic Jaggery Gur / Gud from Sugarcane Chemical Free 1000GM 1Kg,489,No Original Price,No Brand,https://static-01.daraz.com.np/p/c7217f34d039f0757d7235af519ec7f2.jpg,https://www.daraz.com.np/products/nr-natural-pure-organic-jaggery-gur-gud-from-sugarcane-chemical-free-1000gm-1kg-i133621991.html
LOCAL FARM 100% Natural Jaggery Cubes (Local Sakkhar) - 300gm,375,No Original Price,,https://static-01.daraz.com.np/p/08d9bc23f8fdc717549b4034c5bea49c.jpg,https://www.daraz.com.np/products/local-farm-100-natural-jaggery-cubes-local-sakkhar-300gm-i125513397.html
Sulphur Less Sugar, 5kg,1100,No Original Price,No Brand,https://static-01.daraz.com.np/p/083adf7da233b24eef66ced9b7a20935.jpg,https://www.daraz.com.np/products/sulphur-less-sugar-5kg-i125737825.html
Sugar Big Size 5kg Pure and Clean,700,No Original Price,No Brand,https://static-01.daraz.com.np/p/186b0931670030370bc0196e201c9c51.jpg,https://www.daraz.com.np/products/sugar-big-size-5kg-pure-and-clean-i129246533.html
Gulmi Organic Jaggery Pure and Local Gud/Sakhar 1 kg,340,350,No Brand,https://np-live-21.slatic.net/kf/Sda506d9c55af442c8c440cd436deebd0m.jpg,https://www.daraz.com.np/products/gulmi-organic-jaggery-pure-and-local-gudsakhar-1-kg-i162021849.html
Uttam Sulphur Free Sugar - 500Gm,125,150,No Brand,https://static-01.daraz.com.np/p/9b3879f9bae7cfe3ed98225429677396.jpg,https://www.daraz.com.np/products/uttam-sulphur-free-sugar-500gm-i127805804.html
Patanjali Khand 1kg,350,No Original Price,No Brand,https://static-01.daraz.com.np/p/cc0ddb27a82e6c59767e4d96f831947b.png,https://www.daraz.com.np/products/patanjali-khand-1kg-i129832131.html
Mishri Tukra ( Rock Sugar Cubes ) 500 gm,130,No Original Price,No Brand,https://static-01.daraz.com.np/p/d2b88d69186446de70c2283bc07b64b2.jpg,https://www.daraz.com.np/products/mishri-tukra-rock-sugar-cubes-500-gm-i118080141.html
Sara Foods Table Sugar - 1kg,160,No Original Price,No Brand,https://static-01.daraz.com.np/p/1716b73b8b778cc4aa58ca65d38ff384.jpg,https://www.daraz.com.np/products/sara-foods-table-sugar-1kg-i127052812.html
Kirana Dhaga Wala Misri - 1000Gm,200,220,No Brand,https://np-live-21.slatic.net/kf/S9eaff351d876498b83b7debf53b28c16y.jpg,https://www.daraz.com.np/products/kirana-dhaga-wala-misri-1000gm-i159908374.html
Kirana Crystal  Mishri (Cutting Mishri) 500g,110,No Original Price,No Brand,https://static-01.daraz.com.np/p/eb37e13b8df2c99fabd84cf1dfc68e78.jpg,https://www.daraz.com.np/products/kirana-crystal-mishri-cutting-mishri-500g-i129049230.html
Dhago Mishri (Pure Thread Crystal) 1 Kg,240,No Original Price,No Brand,https://static-01.daraz.com.np/p/b16e25b363cd35c8515a37fc49255c6b.jpg,https://www.daraz.com.np/products/dhago-mishri-pure-thread-crystal-1-kg-i128737861.html
white Sugar 1kg,120,No Original Price,No Brand,https://np-live-21.slatic.net/kf/S9bf147e7ed5d4a16aa7025bfcc913d7eV.jpg,https://www.daraz.com.np/products/white-sugar-1kg-i130177234.html
Sugar Free Gold Tablets - 300 Pellets,336,No Original Price,No Brand,https://static-01.daraz.com.np/p/00455e5827892897779e056e5a3d5f76.jpg,https://www.daraz.com.np/products/sugar-free-gold-tablets-300-pellets-i113207659.html
Uttam Sulphurfree Sugar - 1kg - Pack Of 5,1030,1100,No Brand,https://np-live-21.slatic.net/kf/S0e51095693b94fb4a80a7db3353ea5476.jpg,https://www.daraz.com.np/products/uttam-sulphurfree-sugar-1kg-pack-of-5-i128527242.html
Kirana Crystal  Mishri (Cutting Mishri) 200g,55,No Original Price,No Brand,https://static-01.daraz.com.np/p/eb37e13b8df2c99fabd84cf1dfc68e78.jpg,https://www.daraz.com.np/products/kirana-crystal-mishri-cutting-mishri-200g-i129048264.html
Sugar Big Size 2 kg Pure and Clean,285,No Original Price,No Brand,https://static-01.daraz.com.np/p/186b0931670030370bc0196e201c9c51.jpg,https://www.daraz.com.np/products/sugar-big-size-2-kg-pure-and-clean-i129250299.html
Crystalized Sugar - 500 Gm,200,No Original Price,No Brand,https://static-01.daraz.com.np/p/384c320661d81bfde826b38cfed3770a.jpg,https://www.daraz.com.np/products/crystalized-sugar-500-gm-i103159765.html
Kirana Crystal  Mishri (Cutting Mishri) 100g,30,No Original Price,No Brand,https://static-01.daraz.com.np/p/eb37e13b8df2c99fabd84cf1dfc68e78.jpg,https://www.daraz.com.np/products/kirana-crystal-mishri-cutting-mishri-100g-i129050157.html
Kirana Crystal  Mishri (Cutting Mishri) 1kg,215,No Original Price,No Brand,https://static-01.daraz.com.np/p/eb37e13b8df2c99fabd84cf1dfc68e78.jpg,https://www.daraz.com.np/products/kirana-crystal-mishri-cutting-mishri-1kg-i129048267.html
Patanjali Bura Sugar 1kg + Patanjali Madhuram Sugar (Jaggery Powder) 1kg Combo,599,No Original Price,No Brand,https://static-01.daraz.com.np/p/f8fb73815368d87148e735788963110b.png,https://www.daraz.com.np/products/patanjali-bura-sugar-1kg-patanjali-madhuram-sugar-jaggery-powder-1kg-combo-i132111463.html
Hajmola Anardana 120tablets,85,No Original Price,No Brand,https://static-01.daraz.com.np/p/131a1fb802acf6490f81dcf7c345ef09.jpg,https://www.daraz.com.np/products/hajmola-anardana-120tablets-i130130316.html
Stevia Dry Leaf (Cheni Patta) 60 Grm.,360,No Original Price,No Brand,https://np-live-21.slatic.net/kf/S6324b41f13e342ba89d8839e6bda41d8s.jpg,https://www.daraz.com.np/products/stevia-dry-leaf-cheni-patta-60-grm-i163679210.html
Uttam Sulphurfree Sugar - 1kg,250,275,No Brand,https://np-live-21.slatic.net/kf/S215ded99770445b89fa852269ba8a1d8G.jpg,https://www.daraz.com.np/products/uttam-sulphurfree-sugar-1kg-i128512789.html
Laxoft Sf(Sugar Free)-100gm,290,No Original Price,No Brand,https://static-01.daraz.com.np/p/8056651d1c18a109cb89ce894d8eed09.jpg,https://www.daraz.com.np/products/laxoft-sfsugar-free-100gm-i128216365.html
Jaggery (Gur) Chyavanprash 750grm,780,No Original Price,No Brand,https://static-01.daraz.com.np/p/1f1d210d5d3ff39ec50e7b3064e3d4ac.png,https://www.daraz.com.np/products/jaggery-gur-chyavanprash-750grm-i131399724.html
